device,type,code,name,alarm_word,bit,signal,direction,message
boiler,TRIP,5101,LOW_LOW_LEVEL,,,level_indicated,low,Boiler low-low water level
boiler,TRIP,5102,HIGH_HIGH_LEVEL,,,level_indicated,high,Boiler high-high water level
boiler,TRIP,5103,HIGH_PRESSURE,,,pressure,high,Boiler overpressure
boiler,TRIP,5104,FLAME_FAILURE,,,flame_fail,high,Boiler flame failure
boiler,ALARM,5111,LOW_LEVEL,1,0,,,鍋爐水位低
boiler,ALARM,5112,HIGH_LEVEL,1,1,,,鍋爐水位高
boiler,ALARM,5113,HIGH_PRESSURE,1,2,,,鍋爐壓力高
boiler,ALARM,5114,FLAME_UNSTABLE,1,3,,,火焰不穩
boiler,ALARM,5115,FEEDWATER_MISMATCH,1,4,,,給水與蒸汽流量偏差過大
boiler,ALARM,5116,LOW_PRESSURE,1,5,,,鍋爐壓力低
boiler,ALARM,5117,RELIEF_VALVE_OPEN,1,6,,,安全閥動作
boiler,ALARM,5190,COMMAND_REJECTED,2,10,,,命令被拒絕
boiler,ALARM,5191,CONTROL_WATCHDOG_LOST,2,11,,,控制器 watchdog 逾時
boiler,ALARM,5192,SIM_BUS_BAD,2,12,,,模擬匯流排資料品質不良
boiler,ALARM,5193,SENSOR_FAULT,2,13,,,感測器故障
boiler,ALARM,5194,ACTUATOR_FAULT,2,14,,,執行器故障
boiler,ALARM,5195,FAULT_INJECTED,2,15,,,實驗模式故障注入啟用中
boiler,TRIP,5197,COMM_TIMEOUT_TRIP,,,__manual__,high,控制通訊逾時跳機
boiler,TRIP,5198,TRIP_TEST,,,__manual__,high,實驗模式跳機測試
boiler,TRIP,5199,EMERGENCY_STOP,,,__manual__,high,緊急停止
condensate_pump,TRIP,5501,LOW_LOW_SUCTION,,,source_level,low,Condensate pump low-low hotwell level
condensate_pump,TRIP,5502,CAVITATION_TRIP,,,cavitation_time,high,Condensate pump prolonged cavitation
condensate_pump,TRIP,5503,MOTOR_OVERCURRENT,,,motor_current_pu,high,Condensate pump motor overcurrent
condensate_pump,ALARM,5511,LOW_SUCTION_LEVEL,1,0,,,熱井水位低
condensate_pump,ALARM,5512,CAVITATION,1,1,,,泵浦汽蝕
condensate_pump,ALARM,5513,MOTOR_OVERCURRENT,1,2,,,馬達過流
condensate_pump,ALARM,5514,LOW_FLOW,1,3,,,流量低
condensate_pump,ALARM,5590,COMMAND_REJECTED,2,10,,,命令被拒絕
condensate_pump,ALARM,5591,CONTROL_WATCHDOG_LOST,2,11,,,控制器 watchdog 逾時
condensate_pump,ALARM,5592,SIM_BUS_BAD,2,12,,,模擬匯流排資料品質不良
condensate_pump,ALARM,5593,SENSOR_FAULT,2,13,,,感測器故障
condensate_pump,ALARM,5594,ACTUATOR_FAULT,2,14,,,執行器故障
condensate_pump,ALARM,5595,FAULT_INJECTED,2,15,,,實驗模式故障注入啟用中
condensate_pump,TRIP,5597,COMM_TIMEOUT_TRIP,,,__manual__,high,控制通訊逾時跳機
condensate_pump,TRIP,5598,TRIP_TEST,,,__manual__,high,實驗模式跳機測試
