device,table,doc_address,pdu_offset,name,dtype,unit,scale,min,max,writable,pulse,description
condenser,COIL,1,0,START,u16,,1.0,,,yes,yes,脈衝啟動命令
condenser,COIL,2,1,STOP,u16,,1.0,,,yes,yes,正常停止
condenser,COIL,3,2,RESET_TRIP,u16,,1.0,,,yes,yes,跳機重置脈衝，需 Reset Key
condenser,COIL,4,3,ACK_ALARM,u16,,1.0,,,yes,yes,警報確認
condenser,COIL,5,4,EMERGENCY_STOP,u16,,1.0,,,yes,no,緊急停止（保持型）
condenser,COIL,6,5,FORCE_SAFE,u16,,1.0,,,yes,no,強制安全狀態
condenser,COIL,7,6,TRIP_TEST,u16,,1.0,,,yes,yes,實驗模式跳機測試（需 LAB_MODE）
condenser,COIL,8,7,CLEAR_TOTALIZER,u16,,1.0,,,yes,yes,清除累積值
condenser,DISCRETE,10001,0,READY,u16,,1.0,,,no,no,
condenser,DISCRETE,10002,1,RUNNING,u16,,1.0,,,no,no,
condenser,DISCRETE,10003,2,STARTING,u16,,1.0,,,no,no,
condenser,DISCRETE,10004,3,STOPPING,u16,,1.0,,,no,no,
condenser,DISCRETE,10005,4,TRIPPED,u16,,1.0,,,no,no,
condenser,DISCRETE,10006,5,ALARM_ACTIVE,u16,,1.0,,,no,no,
condenser,DISCRETE,10007,6,LOCAL_MODE,u16,,1.0,,,no,no,
condenser,DISCRETE,10008,7,REMOTE_MODE,u16,,1.0,,,no,no,
condenser,DISCRETE,10009,8,AUTO_MODE,u16,,1.0,,,no,no,
condenser,DISCRETE,10010,9,MANUAL_MODE,u16,,1.0,,,no,no,
condenser,DISCRETE,10011,10,CONTROL_WATCHDOG_OK,u16,,1.0,,,no,no,
condenser,DISCRETE,10012,11,SIM_BUS_OK,u16,,1.0,,,no,no,
condenser,DISCRETE,10013,12,INTERLOCKS_OK,u16,,1.0,,,no,no,
condenser,DISCRETE,10014,13,SENSOR_FAULT,u16,,1.0,,,no,no,
condenser,DISCRETE,10015,14,ACTUATOR_FAULT,u16,,1.0,,,no,no,
condenser,DISCRETE,10016,15,MAINTENANCE_MODE,u16,,1.0,,,no,no,
condenser,INPUT,30001,0,STATUS_WORD,bitfield,,1.0,,,no,no,狀態字
condenser,INPUT,30002,1,ALARM_WORD_1,bitfield,,1.0,,,no,no,
condenser,INPUT,30003,2,ALARM_WORD_2,bitfield,,1.0,,,no,no,
condenser,INPUT,30004,3,TRIP_WORD,bitfield,,1.0,,,no,no,
condenser,INPUT,30005,4,DEVICE_STATE,enum,,1.0,,,no,no,
condenser,INPUT,30006,5,FIRST_OUT_CODE,u16,,1.0,,,no,no,
condenser,INPUT,30007,6,OVERALL_QUALITY,enum,,1.0,,,no,no,
condenser,INPUT,30008,7,REGISTER_MAP_VERSION,u16,,1.0,,,no,no,
condenser,INPUT,30009,8,FIRMWARE_VERSION,u16,,1.0,,,no,no,
condenser,INPUT,30010,9,CONDENSER_PRESSURE,u16,bar(a),10000,,,no,no,
condenser,INPUT,30011,10,VACUUM,u16,kPa,100,,,no,no,
condenser,INPUT,30012,11,HOTWELL_LEVEL,u16,%,100,,,no,no,
condenser,INPUT,30013,12,EXHAUST_INFLOW,u16,kg/s,100,,,no,no,
condenser,INPUT,30014,13,CONDENSING_CAPACITY,u16,kg/s,100,,,no,no,
condenser,INPUT,30015,14,ACTUAL_CONDENSED,u16,kg/s,100,,,no,no,
condenser,INPUT,30016,15,CONDENSATE_OUTFLOW,u16,kg/s,100,,,no,no,
condenser,INPUT,30017,16,COOLING_WATER_AVAILABILITY,u16,%,100,,,no,no,
condenser,INPUT,30018,17,VACUUM_SYSTEM_OUTPUT,u16,%,100,,,no,no,
condenser,INPUT,30019,18,CONDENSATE_TEMPERATURE,i16,degC,10,,,no,no,
condenser,INPUT,30020,19,HOTWELL_MASS_HI,u32,kg,1,,,no,no,
condenser,INPUT,30021,20,HOTWELL_MASS_LO,u16,kg,1,,,no,no,
condenser,INPUT,30022,21,MAKEUP_VALVE_POSITION,u16,%,100,,,no,no,補水閥實際開度（本地控制）
condenser,INPUT,30023,22,MAKEUP_FLOW,u16,kg/s,100,,,no,no,
condenser,INPUT,30026,25,LOCAL_OUTPUT,u16,%,100,,,no,no,本地調節器輸出（自持控制的 MV）
condenser,INPUT,30027,26,SELF_HOLD_STATE,enum,,1.0,,,no,no,0=停用 1=待機等允許條件 2=自持運轉 3=操作員停機 4=跳機鎖定 5=維修
condenser,INPUT,30028,27,PERMISSIVE_WORD,bitfield,,1.0,,,no,no,各啟動允許條件是否成立（bit0 起）
condenser,INPUT,30030,29,WATCHDOG_ECHO,u16,,1.0,,,no,no,回應 40003 之值
condenser,INPUT,30031,30,SCAN_TIME_MS,u16,ms,10,,,no,no,物理掃描耗時 ×10
condenser,INPUT,30032,31,MODBUS_REQUEST_COUNT,u16,,1.0,,,no,no,已處理請求數（模 65536）
condenser,INPUT,30033,32,REJECTED_COMMAND_COUNT,u16,,1.0,,,no,no,
condenser,INPUT,30034,33,EXCEPTION_COUNT,u16,,1.0,,,no,no,
condenser,INPUT,30035,34,SIM_QUALITY_WORD,bitfield,,1.0,,,no,no,每個輸入訊號品質是否 GOOD
condenser,INPUT,30036,35,SIM_TICK_LOW,u16,,1.0,,,no,no,
condenser,INPUT,30037,36,COMM_LOSS_SECONDS,u16,s,10,,,no,no,
condenser,INPUT,30038,37,FAULT_INJECT_WORD,bitfield,,1.0,,,no,no,啟用中的故障注入
condenser,INPUT,30039,38,SNAPSHOT_GENERATION,u16,,1.0,,,no,no,每次快照還原 +1，供測試判斷環境已重置
condenser,INPUT,30040,39,RUN_SECONDS_HI,u32,s,1.0,,,no,no,
condenser,INPUT,30041,40,RUN_SECONDS_LO,u16,,1.0,,,no,no,
condenser,INPUT,30042,41,START_COUNT,u16,,1.0,,,no,no,
condenser,INPUT,30043,42,TRIP_COUNT,u16,,1.0,,,no,no,
condenser,INPUT,30044,43,MASS_TOTAL_HI,u32,kg,1.0,,,no,no,
condenser,INPUT,30045,44,MASS_TOTAL_LO,u16,,1.0,,,no,no,
condenser,INPUT,30046,45,ENERGY_TOTAL_HI,u32,kWh,1.0,,,no,no,
condenser,INPUT,30047,46,ENERGY_TOTAL_LO,u16,,1.0,,,no,no,
condenser,INPUT,30048,47,ALARM_COUNT,u16,,1.0,,,no,no,
condenser,INPUT,30049,48,ACCEPTED_COMMAND_COUNT,u16,,1.0,,,no,no,
condenser,HOLDING,40001,0,CONTROL_MODE,enum,,1.0,0,4,yes,no,0=LOCAL_MANUAL 1=LOCAL_AUTO 2=REMOTE_MANUAL 3=REMOTE_AUTO 4=MAINTENANCE
condenser,HOLDING,40002,1,COMMAND_SEQUENCE,u16,,1.0,0,65535,yes,no,命令序號，重置需為新值
condenser,HOLDING,40003,2,WATCHDOG_COUNTER,u16,,1.0,0,65535,yes,no,控制器每秒 +1
condenser,HOLDING,40004,3,RESET_KEY,u16,,1.0,0,65535,yes,no,重置鑰匙 0xA55A
condenser,HOLDING,40005,4,SIMULATION_FLAGS,bitfield,,1.0,0,65535,yes,no,
