device,source_table,name,doc_address,remote_pdu_offset,local_iec,northbound_table,northbound_pdu_offset,dtype,unit,scale,writable,pulse,plc_forwards,description
condenser,COIL,START,1,0,%QX100.0,COIL,800,u16,,1,yes,yes,yes,脈衝啟動命令
condenser,COIL,STOP,2,1,%QX100.1,COIL,801,u16,,1,yes,yes,yes,正常停止
condenser,COIL,RESET_TRIP,3,2,%QX100.2,COIL,802,u16,,1,yes,yes,yes,跳機重置脈衝，需 Reset Key
condenser,COIL,ACK_ALARM,4,3,%QX100.3,COIL,803,u16,,1,yes,yes,yes,警報確認
condenser,COIL,EMERGENCY_STOP,5,4,%QX100.4,COIL,804,u16,,1,yes,no,yes,緊急停止（保持型）
condenser,COIL,FORCE_SAFE,6,5,%QX100.5,COIL,805,u16,,1,yes,no,yes,強制安全狀態
condenser,COIL,TRIP_TEST,7,6,%QX100.6,COIL,806,u16,,1,yes,yes,yes,實驗模式跳機測試（需 LAB_MODE）
condenser,COIL,CLEAR_TOTALIZER,8,7,%QX100.7,COIL,807,u16,,1,yes,yes,yes,清除累積值
condenser,DISCRETE,READY,10001,0,%IX100.0,DISCRETE,800,u16,,1,no,no,no,
condenser,DISCRETE,RUNNING,10002,1,%IX100.1,DISCRETE,801,u16,,1,no,no,no,
condenser,DISCRETE,STARTING,10003,2,%IX100.2,DISCRETE,802,u16,,1,no,no,no,
condenser,DISCRETE,STOPPING,10004,3,%IX100.3,DISCRETE,803,u16,,1,no,no,no,
condenser,DISCRETE,TRIPPED,10005,4,%IX100.4,DISCRETE,804,u16,,1,no,no,no,
condenser,DISCRETE,ALARM_ACTIVE,10006,5,%IX100.5,DISCRETE,805,u16,,1,no,no,no,
condenser,DISCRETE,LOCAL_MODE,10007,6,%IX100.6,DISCRETE,806,u16,,1,no,no,no,
condenser,DISCRETE,REMOTE_MODE,10008,7,%IX100.7,DISCRETE,807,u16,,1,no,no,no,
condenser,DISCRETE,AUTO_MODE,10009,8,%IX101.0,DISCRETE,808,u16,,1,no,no,no,
condenser,DISCRETE,MANUAL_MODE,10010,9,%IX101.1,DISCRETE,809,u16,,1,no,no,no,
condenser,DISCRETE,CONTROL_WATCHDOG_OK,10011,10,%IX101.2,DISCRETE,810,u16,,1,no,no,no,
condenser,DISCRETE,SIM_BUS_OK,10012,11,%IX101.3,DISCRETE,811,u16,,1,no,no,no,
condenser,DISCRETE,INTERLOCKS_OK,10013,12,%IX101.4,DISCRETE,812,u16,,1,no,no,no,
condenser,DISCRETE,SENSOR_FAULT,10014,13,%IX101.5,DISCRETE,813,u16,,1,no,no,no,
condenser,DISCRETE,ACTUATOR_FAULT,10015,14,%IX101.6,DISCRETE,814,u16,,1,no,no,no,
condenser,DISCRETE,MAINTENANCE_MODE,10016,15,%IX101.7,DISCRETE,815,u16,,1,no,no,no,
condenser,INPUT,STATUS_WORD,30001,0,%IW100,INPUT,100,bitfield,,1,no,no,no,狀態字
condenser,INPUT,ALARM_WORD_1,30002,1,%IW101,INPUT,101,bitfield,,1,no,no,no,
condenser,INPUT,ALARM_WORD_2,30003,2,%IW102,INPUT,102,bitfield,,1,no,no,no,
condenser,INPUT,TRIP_WORD,30004,3,%IW103,INPUT,103,bitfield,,1,no,no,no,
condenser,INPUT,DEVICE_STATE,30005,4,%IW104,INPUT,104,enum,,1,no,no,no,
condenser,INPUT,FIRST_OUT_CODE,30006,5,%IW105,INPUT,105,u16,,1,no,no,no,
condenser,INPUT,OVERALL_QUALITY,30007,6,%IW106,INPUT,106,enum,,1,no,no,no,
condenser,INPUT,REGISTER_MAP_VERSION,30008,7,%IW107,INPUT,107,u16,,1,no,no,no,
condenser,INPUT,FIRMWARE_VERSION,30009,8,%IW108,INPUT,108,u16,,1,no,no,no,
condenser,INPUT,CONDENSER_PRESSURE,30010,9,%IW109,INPUT,109,u16,bar(a),10000,no,no,no,
condenser,INPUT,VACUUM,30011,10,%IW110,INPUT,110,u16,kPa,100,no,no,no,
condenser,INPUT,HOTWELL_LEVEL,30012,11,%IW111,INPUT,111,u16,%,100,no,no,no,
condenser,INPUT,EXHAUST_INFLOW,30013,12,%IW112,INPUT,112,u16,kg/s,100,no,no,no,
condenser,INPUT,CONDENSING_CAPACITY,30014,13,%IW113,INPUT,113,u16,kg/s,100,no,no,no,
condenser,INPUT,ACTUAL_CONDENSED,30015,14,%IW114,INPUT,114,u16,kg/s,100,no,no,no,
condenser,INPUT,CONDENSATE_OUTFLOW,30016,15,%IW115,INPUT,115,u16,kg/s,100,no,no,no,
condenser,INPUT,COOLING_WATER_AVAILABILITY,30017,16,%IW116,INPUT,116,u16,%,100,no,no,no,
condenser,INPUT,VACUUM_SYSTEM_OUTPUT,30018,17,%IW117,INPUT,117,u16,%,100,no,no,no,
condenser,INPUT,CONDENSATE_TEMPERATURE,30019,18,%IW118,INPUT,118,i16,degC,10,no,no,no,
condenser,INPUT,HOTWELL_MASS_HI,30020,19,%IW119,INPUT,119,u32,kg,1,no,no,no,
condenser,INPUT,HOTWELL_MASS_LO,30021,20,%IW120,INPUT,120,u16,kg,1,no,no,no,
condenser,INPUT,MAKEUP_VALVE_POSITION,30022,21,%IW121,INPUT,121,u16,%,100,no,no,no,補水閥實際開度（本地控制）
condenser,INPUT,MAKEUP_FLOW,30023,22,%IW122,INPUT,122,u16,kg/s,100,no,no,no,
condenser,INPUT,LOCAL_OUTPUT,30026,25,%IW125,INPUT,125,u16,%,100,no,no,no,本地調節器輸出（自持控制的 MV）
condenser,INPUT,SELF_HOLD_STATE,30027,26,%IW126,INPUT,126,enum,,1,no,no,no,0=停用 1=待機等允許條件 2=自持運轉 3=操作員停機 4=跳機鎖定 5=維修
condenser,INPUT,PERMISSIVE_WORD,30028,27,%IW127,INPUT,127,bitfield,,1,no,no,no,各啟動允許條件是否成立（bit0 起）
condenser,INPUT,WATCHDOG_ECHO,30030,29,%IW129,INPUT,129,u16,,1,no,no,no,回應 40003 之值
condenser,INPUT,SCAN_TIME_MS,30031,30,%IW130,INPUT,130,u16,ms,10,no,no,no,物理掃描耗時 ×10
condenser,INPUT,MODBUS_REQUEST_COUNT,30032,31,%IW131,INPUT,131,u16,,1,no,no,no,已處理請求數（模 65536）
condenser,INPUT,REJECTED_COMMAND_COUNT,30033,32,%IW132,INPUT,132,u16,,1,no,no,no,
condenser,INPUT,EXCEPTION_COUNT,30034,33,%IW133,INPUT,133,u16,,1,no,no,no,
condenser,INPUT,SIM_QUALITY_WORD,30035,34,%IW134,INPUT,134,bitfield,,1,no,no,no,每個輸入訊號品質是否 GOOD
condenser,INPUT,SIM_TICK_LOW,30036,35,%IW135,INPUT,135,u16,,1,no,no,no,
condenser,INPUT,COMM_LOSS_SECONDS,30037,36,%IW136,INPUT,136,u16,s,10,no,no,no,
condenser,INPUT,FAULT_INJECT_WORD,30038,37,%IW137,INPUT,137,bitfield,,1,no,no,no,啟用中的故障注入
condenser,INPUT,SNAPSHOT_GENERATION,30039,38,%IW138,INPUT,138,u16,,1,no,no,no,每次快照還原 +1，供測試判斷環境已重置
condenser,INPUT,RUN_SECONDS_HI,30040,39,%IW139,INPUT,139,u32,s,1,no,no,no,
condenser,INPUT,RUN_SECONDS_LO,30041,40,%IW140,INPUT,140,u16,,1,no,no,no,
condenser,INPUT,START_COUNT,30042,41,%IW141,INPUT,141,u16,,1,no,no,no,
condenser,INPUT,TRIP_COUNT,30043,42,%IW142,INPUT,142,u16,,1,no,no,no,
condenser,INPUT,MASS_TOTAL_HI,30044,43,%IW143,INPUT,143,u32,kg,1,no,no,no,
condenser,INPUT,MASS_TOTAL_LO,30045,44,%IW144,INPUT,144,u16,,1,no,no,no,
condenser,INPUT,ENERGY_TOTAL_HI,30046,45,%IW145,INPUT,145,u32,kWh,1,no,no,no,
condenser,INPUT,ENERGY_TOTAL_LO,30047,46,%IW146,INPUT,146,u16,,1,no,no,no,
condenser,INPUT,ALARM_COUNT,30048,47,%IW147,INPUT,147,u16,,1,no,no,no,
condenser,INPUT,ACCEPTED_COMMAND_COUNT,30049,48,%IW148,INPUT,148,u16,,1,no,no,no,
condenser,HOLDING,COMMAND_SEQUENCE,40002,1,%QW100,HOLDING,100,u16,,1,yes,no,yes,命令序號，重置需為新值
