device,source_table,name,doc_address,remote_pdu_offset,local_iec,northbound_table,northbound_pdu_offset,dtype,unit,scale,writable,pulse,description
condenser,COIL,START,1,0,%QX0.0,COIL,0,u16,,1,yes,yes,脈衝啟動命令
condenser,COIL,STOP,2,1,%QX0.1,COIL,1,u16,,1,yes,yes,正常停止
condenser,COIL,RESET_TRIP,3,2,%QX0.2,COIL,2,u16,,1,yes,yes,跳機重置脈衝，需 Reset Key
condenser,COIL,ACK_ALARM,4,3,%QX0.3,COIL,3,u16,,1,yes,yes,警報確認
condenser,COIL,EMERGENCY_STOP,5,4,%QX0.4,COIL,4,u16,,1,yes,no,緊急停止（保持型）
condenser,COIL,FORCE_SAFE,6,5,%QX0.5,COIL,5,u16,,1,yes,no,強制安全狀態
condenser,COIL,TRIP_TEST,7,6,%QX0.6,COIL,6,u16,,1,yes,yes,實驗模式跳機測試（需 LAB_MODE）
condenser,COIL,CLEAR_TOTALIZER,8,7,%QX0.7,COIL,7,u16,,1,yes,yes,清除累積值
condenser,DISCRETE,READY,10001,0,%IX0.0,DISCRETE,0,u16,,1,no,no,
condenser,DISCRETE,RUNNING,10002,1,%IX0.1,DISCRETE,1,u16,,1,no,no,
condenser,DISCRETE,STARTING,10003,2,%IX0.2,DISCRETE,2,u16,,1,no,no,
condenser,DISCRETE,STOPPING,10004,3,%IX0.3,DISCRETE,3,u16,,1,no,no,
condenser,DISCRETE,TRIPPED,10005,4,%IX0.4,DISCRETE,4,u16,,1,no,no,
condenser,DISCRETE,ALARM_ACTIVE,10006,5,%IX0.5,DISCRETE,5,u16,,1,no,no,
condenser,DISCRETE,LOCAL_MODE,10007,6,%IX0.6,DISCRETE,6,u16,,1,no,no,
condenser,DISCRETE,REMOTE_MODE,10008,7,%IX0.7,DISCRETE,7,u16,,1,no,no,
condenser,DISCRETE,AUTO_MODE,10009,8,%IX1.0,DISCRETE,8,u16,,1,no,no,
condenser,DISCRETE,MANUAL_MODE,10010,9,%IX1.1,DISCRETE,9,u16,,1,no,no,
condenser,DISCRETE,CONTROL_WATCHDOG_OK,10011,10,%IX1.2,DISCRETE,10,u16,,1,no,no,
condenser,DISCRETE,SIM_BUS_OK,10012,11,%IX1.3,DISCRETE,11,u16,,1,no,no,
condenser,DISCRETE,INTERLOCKS_OK,10013,12,%IX1.4,DISCRETE,12,u16,,1,no,no,
condenser,DISCRETE,SENSOR_FAULT,10014,13,%IX1.5,DISCRETE,13,u16,,1,no,no,
condenser,DISCRETE,ACTUATOR_FAULT,10015,14,%IX1.6,DISCRETE,14,u16,,1,no,no,
condenser,DISCRETE,MAINTENANCE_MODE,10016,15,%IX1.7,DISCRETE,15,u16,,1,no,no,
condenser,INPUT,STATUS_WORD,30001,0,%IW0,INPUT,0,bitfield,,1,no,no,狀態字
condenser,INPUT,ALARM_WORD_1,30002,1,%IW1,INPUT,1,bitfield,,1,no,no,
condenser,INPUT,ALARM_WORD_2,30003,2,%IW2,INPUT,2,bitfield,,1,no,no,
condenser,INPUT,TRIP_WORD,30004,3,%IW3,INPUT,3,bitfield,,1,no,no,
condenser,INPUT,DEVICE_STATE,30005,4,%IW4,INPUT,4,enum,,1,no,no,
condenser,INPUT,FIRST_OUT_CODE,30006,5,%IW5,INPUT,5,u16,,1,no,no,
condenser,INPUT,OVERALL_QUALITY,30007,6,%IW6,INPUT,6,enum,,1,no,no,
condenser,INPUT,REGISTER_MAP_VERSION,30008,7,%IW7,INPUT,7,u16,,1,no,no,
condenser,INPUT,FIRMWARE_VERSION,30009,8,%IW8,INPUT,8,u16,,1,no,no,
condenser,INPUT,CONDENSER_PRESSURE,30010,9,%IW9,INPUT,9,u16,bar(a),10000,no,no,
condenser,INPUT,VACUUM,30011,10,%IW10,INPUT,10,u16,kPa,100,no,no,
condenser,INPUT,HOTWELL_LEVEL,30012,11,%IW11,INPUT,11,u16,%,100,no,no,
condenser,INPUT,EXHAUST_INFLOW,30013,12,%IW12,INPUT,12,u16,kg/s,100,no,no,
condenser,INPUT,CONDENSING_CAPACITY,30014,13,%IW13,INPUT,13,u16,kg/s,100,no,no,
condenser,INPUT,ACTUAL_CONDENSED,30015,14,%IW14,INPUT,14,u16,kg/s,100,no,no,
condenser,INPUT,CONDENSATE_OUTFLOW,30016,15,%IW15,INPUT,15,u16,kg/s,100,no,no,
condenser,INPUT,COOLING_WATER_AVAILABILITY,30017,16,%IW16,INPUT,16,u16,%,100,no,no,
condenser,INPUT,VACUUM_SYSTEM_OUTPUT,30018,17,%IW17,INPUT,17,u16,%,100,no,no,
